135.56631,43.896606;135.33287,38.962013
135.89899,38.94171;136.69683,43.788108
136.13105,43.949993;135.89899,38.94171
136.29768,30.864437;136.53904,37.448587
136.46409,38.816672;137.26178,43.787627
136.53904,37.448587;127.22276,38.114725
136.69683,43.788108;136.46409,38.816672
137.03,38.764604;137.81128,45.826601
137.26178,43.787627;137.03,38.764604
137.3404,32.013256;141.86821,31.569164
137.51423,43.79137;124.95414,44.254771
137.57216,45.741515;137.51423,43.79137
137.61136,38.748535;138.37624,45.853157
137.72538,45.77362;145.79818,44.878018
137.72656,37.091354;137.3404,32.013256
137.81128,45.826601;137.61136,38.748535
137.9004,47.826813;138.77893,47.546842
138.07417,52.470473;137.9004,47.826813
138.07652,38.71571;145.40194,38.12044
138.17728,38.700984;138.9422,45.691457
138.24789,37.043084;137.72656,37.091354
138.37624,45.853157;138.17728,38.700984
138.42166,38.732565;138.24789,37.043084
138.74218,38.620801;139.50784,45.664613
138.75962,45.751165;137.57216,45.741515
138.77893,47.546842;138.75962,45.751165
138.9422,45.691457;138.74218,38.620801
139.00091,36.946542;139.13607,38.655331
139.13607,38.655331;142.97844,38.220893
139.30742,38.623597;140.07395,45.476032
139.50784,45.664613;139.30742,38.623597
139.87217,38.538741;140.63973,45.395264
14.076748,43.03576;13.957901,43.524353
14.103158,49.096949;12.148788,49.136565
14.142774,43.352685;14.076748,43.03576
14.26162,42.98294;14.142774,43.352685
14.274826,48.581946;14.512519,48.2122
14.380467,43.260249;14.26162,42.98294
14.512519,48.2122;15.252011,47.129374
14.684187,42.824477;14.380467,43.260249
14.842649,43.33948;14.684187,42.824477
14.974702,42.771656;14.842649,43.33948
140.07395,45.476032;139.87217,38.538741
140.13051,45.596698;140.16913,47.546842
140.16913,47.546842;143.59636,47.402029
140.43725,38.509827;141.20508,45.31405
140.63973,45.395264;140.43725,38.509827
141.0028,38.413799;141.77041,45.259875
141.20508,45.31405;141.0028,38.413799
141.56833,38.344808;142.33541,45.259432
141.77041,45.259875;141.56833,38.344808
141.86821,31.569164;141.91648,32.524928
141.91648,32.524928;143.06532,32.389769
142.13421,38.27769;142.90045,45.232003
142.3123,35.768732;142.3123,36.512104
142.3123,36.512104;139.00091,36.946542
142.33541,45.259432;142.13421,38.27769
142.70003,38.190987;143.46952,45.235645
142.90045,45.232003;142.70003,38.190987
142.97844,38.220893;143.02671,38.780836
143.02671,38.780836;144.60034,38.587752
143.06532,32.389769;143.19083,35.768732
143.19083,35.768732;142.3123,35.768732
143.26182,38.727835;144.0357,45.128237
143.46952,45.235645;143.26182,38.727835
143.59636,47.402029;143.78945,47.961972
143.73152,51.939493;138.07417,52.470473
143.78945,47.961972;144.66798,47.894392
143.82652,38.724033;144.59992,45.154059
143.96322,51.350588;143.73152,51.939493
144.0307,31.43401;153.3856,31.24093
144.0357,45.128237;143.82652,38.724033
144.29136,36.280407;144.0307,31.43401
144.39316,38.579631;145.16199,45.043413
144.59064,38.008501;145.21817,37.998851
144.59992,45.154059;144.39316,38.579631
144.60034,38.587752;144.59064,38.008501
144.66798,47.894392;144.77417,51.234738
144.77417,51.234738;143.96322,51.350588
144.92864,47.208946;145.83613,46.735891
144.96197,37.972757;145.72886,44.800624
145.12162,36.212828;144.29136,36.280407
145.13138,51.833297;144.92864,47.208946
145.16199,45.043413;144.96197,37.972757
145.21817,37.998851;145.12162,36.212828
145.40194,38.12044;161.53643,34.654397
145.52598,37.944816;137.72538,45.77362
145.72886,44.800624;145.52598,37.944816
145.79818,44.878018;138.07652,38.71571
145.81682,44.911251;140.13051,45.596698
145.83613,46.735891;145.81682,44.911251
15.133164,43.31307;14.974702,42.771656
15.252011,47.129374;16.427274,46.244625
15.357652,43.048966;15.133164,43.31307
15.582141,43.511148;15.357652,43.048966
15.648167,42.850888;15.582141,43.511148
15.677342,48.733274;19.661281,65.05666
15.872655,42.652809;15.648167,42.850888
151.82848,35.758552;151.92539,37.091018
151.92539,37.091018;154.44496,36.703391
152.55528,44.40747;152.60374,45.715709
152.60374,45.715709;155.14754,45.328083
153.25054,51.051309;145.13138,51.833297
153.3856,31.24093;153.59799,30.507213
153.59799,30.507213;160.17249,29.860383
153.65602,50.327245;153.25054,51.051309
154.44496,36.703391;154.49342,35.516285
154.49342,35.516285;151.82848,35.758552
154.76625,50.211395;153.65602,50.327245
155.03657,50.858225;154.76625,50.211395
155.14754,44.140976;152.55528,44.40747
155.14754,45.328083;155.14754,44.140976
158.74365,52.287048;159.2167,52.470477
158.76296,52.644252;159.67045,52.760102
158.90777,53.37797;159.4291,53.49382
158.93673,53.686904;159.93111,53.947566
158.97535,54.575088;159.58356,54.67163
159.16843,54.884022;159.5546,55.212264
159.18774,52.953186;159.49668,53.291082
159.2167,52.470477;158.76296,52.644252
159.29394,55.328114;159.75734,55.55016
159.35186,54.198575;159.62218,54.362696
159.40013,55.78186;159.6608,56.032869
159.40979,56.274223;160.15316,56.476961
159.4291,53.49382;158.93673,53.686904
159.49668,53.291082;158.90777,53.37797
159.5546,55.212264;159.29394,55.328114
159.58356,54.67163;159.16843,54.884022
159.62218,54.362696;158.97535,54.575088
159.6608,56.032869;159.40979,56.274223
159.67045,52.760102;159.18774,52.953186
159.75734,55.55016;159.40013,55.78186
159.85388,56.699007;160.2497,56.795549
159.93111,53.947566;159.35186,54.198575
16.017913,43.101786;15.872655,42.652809
16.16317,42.639604;16.017913,43.101786
16.242401,43.141402;16.16317,42.639604
16.427274,46.244625;17.536511,45.782443
16.572531,42.903708;16.242401,43.141402
16.757404,43.31307;16.572531,42.903708
16.968687,42.441526;16.757404,43.31307
160.15316,56.476961;159.85388,56.699007
160.17249,29.860383;160.52969,32.177386
160.24,57.172062;160.4717,56.95967
160.2497,56.795549;160.24,57.172062
160.4717,56.95967;160.54893,57.529267
160.52969,32.177386;171.08171,30.922342
160.54893,57.529267;160.94475,57.152754
160.7517,34.735743;160.7614,35.459806
160.7614,35.459806;170.65694,34.233726
160.90614,57.548575;161.35023,58.562264
160.94475,57.152754;160.90614,57.548575
160.96411,28.547434;136.29768,30.864437
161.12224,32.070603;162.10118,34.605088
161.34062,30.854783;160.96411,28.547434
161.35023,58.562264;161.53366,57.799584
161.53366,57.799584;161.72674,58.388489
161.53643,34.654397;161.12224,32.070603
161.68699,32.021294;162.66593,34.447299
161.72674,58.388489;161.9681,58.127826
161.9681,58.127826;162.06464,58.774656
162.06464,58.774656;162.41219,58.43676
162.07636,43.365723;162.10059,44.673963
162.10059,44.673963;164.66861,44.359016
162.10118,34.605088;161.68699,32.021294
162.25174,31.863505;163.23069,34.407852
162.41219,58.43676;162.97213,59.489065
162.56682,50.15347;155.03657,50.858225
162.66593,34.447299;162.25174,31.863505
162.8165,31.824058;163.79544,34.328957
162.97213,59.489065;163.24245,58.822927
163.03988,49.448715;162.56682,50.15347
163.22314,59.353906;163.63827,59.54699
163.23069,34.407852;162.8165,31.824058
163.23279,59.66284;163.70585,59.952466
163.24245,58.822927;163.67689,59.189785
163.38125,31.745163;164.36019,34.269786
163.45484,60.261399;163.77343,60.435175
163.49346,60.579987;163.79274,60.830996
163.52242,61.053042;163.84101,61.130275
163.58034,61.25578;164.36233,61.361976
163.63827,59.54699;163.23279,59.66284
163.67689,59.189785;163.22314,59.353906
163.70585,59.952466;163.45484,60.261399
163.77343,60.435175;163.49346,60.579987
163.77343,61.506788;164.24648,61.83503
163.79274,60.830996;163.52242,61.053042
163.79544,34.328957;163.38125,31.745163
163.84101,61.130275;163.58034,61.25578
163.946,31.685992;164.92494,34.190892
163.9472,62.25016;164.49749,62.288777
164.01495,49.27494;163.03988,49.448715
164.02444,62.588056;164.52645,62.568748
164.22717,61.584022;163.77343,61.506788
164.24648,61.83503;163.9472,62.25016
164.36019,34.269786;163.946,31.685992
164.36233,61.361976;164.22717,61.584022
164.43974,49.979695;164.01495,49.27494
164.49749,62.288777;164.02444,62.588056
164.51075,31.607098;165.48969,34.131722
164.52645,62.568748;164.58438,63.022494
164.58438,63.022494;164.76781,62.761832
164.66861,44.359016;164.74129,43.09923
164.74129,43.09923;162.07636,43.365723
164.76781,62.761832;165.0864,62.983878
164.92494,34.190892;164.51075,31.607098
165.0755,31.547928;166.05445,34.072551
165.0864,62.983878;165.39533,62.703906
165.28913,62.172931;165.30844,61.796418
165.30844,61.796418;165.54014,61.584026
165.39533,62.423939;165.86838,62.288781
165.39533,62.703906;165.89735,62.694256
165.48969,34.131722;165.0755,31.547928
165.54014,61.584026;165.70426,62.163276
165.56927,55.56946;165.71409,55.308798
165.60789,54.970901;165.97475,54.507501
165.64026,31.488757;166.6192,33.993655
165.70426,62.163276;165.87804,61.574372
165.71409,55.308798;165.60789,54.970901
165.83959,54.401305;166.38988,54.111679
165.86838,62.288781;165.28913,62.172931
165.87804,61.574372;166.16766,62.385323
165.89735,62.694256;165.39533,62.423939
165.91682,55.830123;165.56927,55.56946
165.97475,54.507501;165.83959,54.401305
166.05445,34.072551;165.64026,31.488757
166.06164,56.361103;165.91682,55.830123
166.10991,56.843812;166.06164,56.361103
166.16766,62.385323;166.36075,62.037772
166.20501,31.409861;167.18396,33.875314
166.3223,53.889633;166.87259,53.648279
166.36075,62.037772;166.56348,62.597715
166.38988,54.111679;166.3223,53.889633
166.38988,56.814849;166.10991,56.843812
166.52504,57.172054;166.38988,56.814849
166.56348,62.597715;166.66968,62.057081
166.6192,33.993655;166.20501,31.409861
166.65054,57.027241;166.52504,57.172054
166.66968,62.057081;166.89173,62.58806
166.76977,31.29152;167.74871,33.835867
166.77605,53.368308;167.05602,53.291074
166.87259,53.030411;167.22979,52.895253
166.87259,53.648279;166.77605,53.368308
166.89173,62.58806;167.12343,61.70953
166.90155,57.413409;166.65054,57.027241
167.05602,53.291074;166.87259,53.030411
167.12343,61.70953;167.33582,62.143968
167.1236,57.249288;166.90155,57.413409
167.18152,52.567011;167.53873,52.557361
167.18396,33.875314;166.76977,31.29152
167.20083,57.500296;167.1236,57.249288
167.22979,52.895253;167.18152,52.567011
167.33452,31.252073;168.31346,33.756972
167.33582,62.143968;167.59648,61.844689
167.45184,52.287044;167.93455,52.267735
167.50976,57.500296;167.20083,57.500296
167.53873,52.557361;167.45184,52.287044
167.59648,61.844689;167.77026,62.481864
167.66423,58.002313;167.50976,57.500296
167.74871,33.835867;167.33452,31.252073
167.77026,62.481864;167.87645,61.883305
167.86697,57.838192;167.66423,58.002313
167.87645,61.883305;168.05988,62.404631
